ship_mmsi,allowed_ports
OARRAKRAK,"USLSA,CAVCR,USOAK,MXLCS,MXMAN,PECAL,ECGYL,USNYK,COBUE,UYULA,BRPAR,BRRDJ,UYMON,BRSTS,BRRGR,GBSOU,FRLEH,BEZEE,SIKOP,ITGOA,DEHAM,MTMAL,BEANT,PLGDA,ESGIJ,NLROT,TRYAR,GRAGT,ZARIB,JOAQA,ROCON,EGALE,SAJUB,BHBAH,KEMOM,SADMA,QAUMS,SAJED,SAYAN,KWMAA,AEJAL,AEABU,OMSOH,AEFUJ,PKQAS,PKKAR,INKNP,INMUN,THLCB,VNHPG,VNCAM,CNHUI,CNLSN,HKHKG,AUGER,CNNTG,CNFAN,CNNBO,CNZOS,CNGUA,CNFUN,CNJIN,CNHUA,CNTAI,CNDCB,CNTJN,MYPKE,MYPAG,IDBAH,CNSTO,CNYSN,CNWGQ,CNCJK,CNJIT,CNYZH,CNNSA,CNDSN,CNLAZ,CNYTN,CNJIA,CNLYG,CNYAN,AUESP,CNCHS,CNMEZ,CNDAL,CNYPG,CNRUG,CNZZU,TWKAO,CNZJG,AUFRE,CNDJK,CNBYQ,CNLKU,CNSDG,MYTPP,CNCGM,CNXIA,CNBHI,TWMAI,CNRIZ,CNSHE,SGSGP,CNJIJ,TWTAP,CNZHA,CNQUA,CNZHE,CNDDG,CNWEN,CNQIZ,CNQHD,CNBAO,CNQIN,CNCFD,CNNJG,CNGLA,CNWEI,IDSAM,KRPOH,KRGWA,KRDAN,JPFUK,JPOIT,JPKIS,JPSKI,KRULS,KRINC,JPNAG,JPYOK,KRPYT,KRBUS,JPMIZ,JPKMA,JPOSK,AUGLE,AUMEL,AUNTL,AUADE,AUBRI"
OFFNNCGKK,"USSEA,USLSA,CAVCR,USOAK,MXLCS,MXMAN,PECAL,PABAL,USSAV,USCHA,USNYK,COBUE,CLSAN,CLTAL,UYULA,BRTUB,BRPDM,ARBNA,BRPAR,BRRDJ,UYMON,BRSTS,BRITA,BRRGR,GBSOU,FRLEH,BEZEE,FRFOS,NLAMS,SIKOP,ITGOA,DEHAM,ESBAR,MTMAL,ESCAR,BEANT,PLGDA,ESGIJ,NLROT,TRMER,ZACPT,TRYAR,GRELE,GRAGT,TRALI,EGPSA,UAODS,JOAQA,ROCON,EGALE,EGDAM,SAJUB,BHBAH,KEMOM,SADMA,QAUMS,SAJED,SAYAN,QARAS,KWMAA,AEJAL,AEABU,AERUW,OMSOH,AEFUJ,RUULG,PKKAR,INMUN,THLCB,THKSI,VNHPG,VNCAM,CNHUI,CNPAN,MY3182,CNLSN,HKHKG,CNFAN,CNNBO,CNZOS,CNGUA,MY3177,CNFUN,CNJIN,AUCPN,CNHUA,CNTAI,CNTJN,MYPKE,MYPAG,CNYSN,CNWGQ,CNCJK,CNJIT,CNYZH,CNNSA,CNDSN,CNYTN,CNJIA,CNLYG,CNYAN,CN2032,AUESP,CNMEZ,CNDAL,CNYPG,TWKAO,CNZJG,CNSLH,CNDJK,CNBYQ,CNLKU,MYTBS,CNSDG,CNMWN,CNCGM,AUPHE,CNXIA,CN2039,TWMAI,CNRIZ,CNSHE,SGSGP,MY2243,TWTAP,CNZHA,CNZHE,CNDDG,CNQIZ,CNLYW,CNBAO,CNQIN,CNCFD,CNGLA,MYPGG,CNMJS,JPKAW,KRPOH,KRGWA,KRDAN,JPFUK,JPOIT,JPKIS,JPSKI,KRULS,KRINC,JPNAG,JPCBA,JPYOK,KRPYT,KRBUS,JPMIZ,JPKMA,KRYOS,AUGLE,AUAPT,AUNTL,AUBRI,AUHAY,RUNJK"
OFFRSYCKK,"USLUA,PECAL,USNYK,ECPBO,UYULA,CLMEJ,GBBEL,PTLXS,GNCON,IEDUB,FRLEH,BEZEE,ESHUE,ITTAR,ESTAR,DZDJE,DEHAM,FRROU,MTMAL,BEANT,PLGDA,ESGIJ,NLROT,ESBIL,TRGEB,TRYAR,ZADUR,GRAGT,LTKLJ,FIKOT,EGALE,KEMOM,TZDRS,AEJAL,OMSOH,PKQAS,PKKAR,INKAN,THLCB,IDCXP,IDJAK,VNHCM,VNHPG,VNQUN,THRAY,CNHUM,CNCJN,CNHUI,CNCZH,CNLSN,HKHKG,AUGER,CNNTG,CNFAN,CNDAF,CNYJG,CNNBO,CNZOS,CNGUA,CNFUN,CNJIN,CNHKO,CNHPU,CNDYI,CNTAI,CNTJN,MYPKE,MYPAG,CNSTO,CNYSN,CNWGQ,CNCJK,CNJIT,CNYZH,CNSHA,CNDSN,CNTAX,CNFUZ,CNJIA,TWHLN,CNLYG,CNYAN,CNWEF,CNCHS,CNMEZ,CNDAL,CNYPG,CNRUG,CNZZU,TWKAO,CNZJG,AUFRE,CNBAS,CNDJK,CNBYQ,CNYIZ,CNSHS,CNSDG,AUBUN,CNPLI,CNCGM,CNXIA,CNBHI,PHBAT,TWMAI,CNRIZ,SGSGP,TWTCH,CNJIJ,CNZHA,CNZPU,CNQUA,CNZHE,CNWEN,CNCHZ,CNQIZ,CNQHD,CNBAO,CNQIN,CNCFD,CNNJG,CNGLA,CNDNG,CNWEI,CNNDE,KRPOH,KRGWA,KRDAN,JPFUK,JPKIS,JPSKI,JPTOK,KRULS,KRINC,JPNAG,JPYOK,KRPYT,KRBUS,JPMIZ,JPMOJ,JPOSK,AUGLE,AUMEL,AUNTL,AUPKE,AUADE,AUGEE"
OFFYGFYKK,"BRPDM,FRFEC,EGSKR,SAJUT,SARTA,KWMAA,IQMAB,AERUW,OMMAF,AEFUJ,CNHUI,CNLSN,CNNBO,CNZOS,CNTJN,CNMEZ,CNDAL,CNYPG,TWKAO,CNSLH,CNDJK,CNSDG,SGSGP,CNZHA,CNQIZ,CNCFD,JPKII,JPSKI,JPCBA"
OARCGCORK,"USLSA,CAVCR,USOAK,MXLCS,MXMAN,PECAL,ECGYL,USNYK,COBUE,CLTAL,UYULA,BRPEC,BRTUB,BRPAR,BRRDJ,UYMON,BRSTS,BRRGR,GBSOU,FRLEH,BEZEE,NLAMS,SIKOP,ITGOA,DEHAM,MTMAL,ESCAR,BEANT,PLGDA,ESGIJ,NLROT,TRYAR,GRAGT,ZARIB,JOAQA,ROCON,EGALE,SAJUB,BHBAH,KEMOM,SADMA,QAUMS,SAJED,SAYAN,KWMAA,AEJAL,AEABU,OMSOH,AEFUJ,PKQAS,PKKAR,INKNP,INMUN,THLCB,THKSI,VNHPG,VNCAM,CNHUI,CNPAN,CNTAZ,CNLSN,HKHKG,AUGER,CNNTG,CNFAN,CNNBO,CNPYU,CNZOS,CNGUA,CNFUN,CNJIN,CNHUA,CNTAI,CNDCB,CNTJN,MYPKE,MYPAG,IDBAH,CNSTO,CNYSN,CNWGQ,CNCJK,CNJIT,CN9873,CNYZH,CNNSA,CNDSN,CNLAZ,CNYTN,CNJIA,CN1087,CNLYG,CNYAN,AUESP,CNCHS,CNMEZ,CNDAL,CNYPG,CNRUG,CNZZU,TWKAO,CNZJG,AUFRE,CNDJK,CNBYQ,CNLKU,CNSDG,MYTPP,CNPLI,CNCGM,CNXIA,CNBHI,TWMAI,CNRIZ,CNSHE,SGSGP,MY2243,CNJIJ,TWTAP,CNZHA,CNQUA,CNZHE,CNDDG,CNWEN,CNCHZ,CNQIZ,CNQHD,CNBAO,CNQIN,CNCFD,CNNJG,CNGLA,CNWEI,IDSAM,JPKAW,KRPOH,KRGWA,KRDAN,JPFUK,JPOIT,JPKIS,JPSKI,KRULS,KRINC,JPNAG,JPCBA,JPYOK,KRPYT,KRBUS,JPMIZ,JPKMA,JPOSK,AUGLE,AUMEL,AUNTL,AUADE,AUBRI"
OACOGYKKK,"USLSA,CAVCR,USOAK,GTPQL,MXLCS,MXMAN,PECAL,PABAL,ECGYL,USNPN,USSAV,USNYK,COBUE,CLSAN,CLTAL,UYULA,BRPEC,BRTUB,BRPDM,ARBNA,BRPAR,BRRDJ,UYMON,BRIOA,BRSTS,BRITA,BRRGR,GBSOU,FRLEH,BEZEE,NLAMS,SIKOP,ITGOA,DEHAM,ESBAR,MTMAL,ESCAR,BEANT,PLGDA,ESGIJ,NLROT,TRMER,ZACPT,TRYAR,GRELE,GRAGT,TRALI,ZARIB,EGPSA,JOAQA,ROCON,EGALE,EGDAM,SAJUB,BHBAH,KEMOM,SADMA,QAUMS,SAJED,SAYAN,KWMAA,AEJAL,AEABU,AERUW,OMSOH,AEFUJ,RUULG,PKQAS,PKKAR,INCHN,INKNP,INMUN,INVIS,THLCB,THKSI,VNHPG,VNCAM,VNSOD,CNHUI,CNPAN,CNTAZ,MY3182,CNLSN,HKHKG,AUGER,CNFAN,CNNBO,CNPYU,CNZOS,CNGUA,CNFUN,CNJIN,CNHUA,CNTAI,CNDCB,CN9862,CNTJN,MYPKE,MYPAG,IDBAH,CNSTO,CNYSN,CNWGQ,CNCJK,CNJIT,CN9873,CNYZH,CNNSA,CNDSN,CNLAZ,CNYTN,CNJIA,CN1087,CNLYG,CNYAN,AUESP,CNMEZ,CNDAL,CNYPG,CNRUG,CNZZU,CNSWE,TWKAO,CNZJG,CNSLH,AUFRE,CNDJK,CNBYQ,CNLKU,MYTBS,CNSDG,MYTPP,CNMWN,CNCGM,CNXIA,CNBHI,TWMAI,CNRIZ,CNSHE,SGSGP,MY2243,TWTAP,CNZHA,CNQUA,CNZHE,CNDDG,CNWEN,CNQIZ,CNLYW,CNQHD,CNBAO,CNQIN,CNCFD,CNGLA,MYPGG,CNWEI,IDSAM,CNMJS,JPKAW,KRPOH,KRGWA,KRDAN,JPFUK,JPOIT,JPKIS,JPSKI,KRULS,KRINC,JPNAG,JPCBA,JPYOK,KRPYT,KRBUS,JPMIZ,JPKMA,KRYOS,JPOSK,AUGLE,AUMEL,AUNTL,AUADE,AUBRI,AUHAY,RUNJK"
OARNCOKAK,"CNHUI,CNCZH,CNFAN,CNYJG,CNGUA,CNHKO,CNSTO,CNYPG,CNSDG,CNBHI,CNZHA,CNDNG"
OFFFRYCKK,"BRPDM,SARTA,KWMAA,IQMAB,AERUW,OMSOH,AEFUJ,CNHUI,MY3182,CNLSN,CNNBO,CNZOS,CNJIN,CNTJN,CNJIT,MY3173,CNLYG,CNYAN,CNMEZ,CNDAL,CNYPG,TWKAO,CNSLH,CNDJK,CNSDG,AUPHE,CNRIZ,SGSGP,CNZHA,CNQIZ,CNQIN,CNCFD,CNMJS,KRGWA,JPKII,JPSKI,KRULS,KRINC,JPCBA,KRYOS"
OFFFRGFKK,"USLSA,CAVCR,USOAK,GTPQL,MXLCS,MXMAN,PECAL,PABAL,ECGYL,USNPN,USSAV,USNYK,COBUE,CLSAN,CLTAL,UYULA,BRPEC,BRTUB,BRPDM,BRPAR,BRRDJ,UYMON,BRIOA,BRSTS,BRITA,BRRGR,GBSOU,FRLEH,BEZEE,NLAMS,SIKOP,ITGOA,DEHAM,ESBAR,MTMAL,ESCAR,BEANT,PLGDA,ESGIJ,NLROT,TRMER,ZACPT,TRYAR,GRELE,GRAGT,TRALI,ZARIB,EGPSA,JOAQA,ROCON,EGALE,EGDAM,SAJUB,BHBAH,KEMOM,SADMA,QAUMS,SAJED,SAYAN,KWMAA,AEJAL,AEABU,AERUW,OMSOH,AEFUJ,RUULG,PKQAS,PKKAR,INCHN,INKNP,INMUN,INVIS,THLCB,THKSI,VNHPG,VNCAM,VNSOD,CNHUI,CNPAN,CNTAZ,MY3182,CNLSN,HKHKG,AUGER,CNFAN,CNNBO,CNPYU,CNZOS,CNGUA,CNFUN,CNJIN,CNHUA,CNTAI,CNDCB,CN9862,CNTJN,MYPKE,MYPAG,IDBAH,CNSTO,CNYSN,CNWGQ,CNCJK,CNJIT,CN9873,CNYZH,CNNSA,CNDSN,CNLAZ,CNYTN,CNJIA,CN1087,CNLYG,CNYAN,AUESP,CNMEZ,CNDAL,CNYPG,CNRUG,CNZZU,CNSWE,TWKAO,CNZJG,CNSLH,AUFRE,CNDJK,CNBYQ,CNLKU,MYTBS,CNSDG,MYTPP,CNMWN,CNCGM,CNXIA,CNBHI,TWMAI,CNRIZ,CNSHE,SGSGP,MY2243,TWTAP,CNZHA,CNQUA,CNZHE,CNDDG,CNWEN,CNQIZ,CNLYW,CNQHD,CNBAO,CNQIN,CNCFD,CNGLA,MYPGG,CNWEI,IDSAM,CNMJS,JPKAW,KRPOH,KRGWA,KRDAN,JPFUK,JPOIT,JPKIS,JPSKI,KRULS,KRINC,JPNAG,JPCBA,JPYOK,KRPYT,KRBUS,JPMIZ,JPKMA,KRYOS,JPOSK,AUGLE,AUMEL,AUNTL,AUADE,AUBRI,AUHAY,RUNJK"
RFKKFAKKK,"USSEA,USLSA,CAVCR,PABAL,USSAV,USCHA,USNYK,BRTUB,BRPDM,BRITA,GBSOU,FRLEH,BEZEE,FRFOS,ITGOA,DEHAM,MTMAL,ESCAR,BEANT,PLGDA,ESGIJ,NLROT,JOAQA,EGALE,SADMA,SAJED,QARAS,KWMAA,AEJAL,AEABU,AERUW,OMSOH,AEFUJ,PKKAR,INMUN,VNCAM,CNHUI,MY3182,CNLSN,HKHKG,CNFAN,CNNBO,CNZOS,CNGUA,CNFUN,CNJIN,AUCPN,CNHUA,CNTAI,CNTJN,MYPKE,CNYSN,CNWGQ,CNCJK,CNJIT,CNYZH,CNNSA,CNDSN,CNYTN,CNJIA,CNLYG,CNYAN,AUESP,CNMEZ,CNDAL,CNYPG,TWKAO,CNZJG,CNSLH,CNDJK,CNBYQ,CNSDG,CNCGM,AUPHE,CNXIA,CNRIZ,CNSHE,SGSGP,TWTAP,CNZHA,CNZHE,CNDDG,CNQIZ,CNLYW,CNBAO,CNQIN,CNCFD,CNGLA,CNMJS,JPKAW,KRPOH,KRGWA,KRDAN,JPFUK,JPOIT,JPKIS,JPSKI,KRULS,KRINC,JPNAG,JPCBA,KRBUS,JPMIZ,JPKMA,KRYOS,AUGLE,AUAPT,AUNTL,AUBRI,AUHAY"
OAOARYKKK,"USLSA,CAVCR,USOAK,MXLCS,MXMAN,PECAL,ECGYL,USNPN,USSAV,USNYK,COBUE,CLTAL,UYULA,BRPEC,BRTUB,BRPAR,BRRDJ,UYMON,BRSTS,BRRGR,GBSOU,FRLEH,BEZEE,NLAMS,SIKOP,ITGOA,DEHAM,ESBAR,MTMAL,ESCAR,BEANT,PLGDA,ESGIJ,NLROT,TRMER,ZACPT,TRYAR,GRELE,GRAGT,TRALI,ZARIB,EGPSA,JOAQA,ROCON,EGALE,SAJUB,BHBAH,KEMOM,SADMA,QAUMS,SAJED,SAYAN,KWMAA,AEJAL,AEABU,AERUW,OMSOH,AEFUJ,RUULG,PKQAS,PKKAR,INKNP,INMUN,INVIS,THLCB,THKSI,VNHPG,VNCAM,CNHUI,CNPAN,CNTAZ,CNLSN,HKHKG,AUGER,CNNTG,CNFAN,CNNBO,CNPYU,CNZOS,CNGUA,CNFUN,CNJIN,CNHUA,CNTAI,CNDCB,CNTJN,MYPKE,MYPAG,IDBAH,CNSTO,CNYSN,CNWGQ,CNCJK,CNJIT,CN9873,CNYZH,CNNSA,CNDSN,CNLAZ,CNYTN,CNJIA,CN1087,CNLYG,CNYAN,AUESP,CNCHS,CNMEZ,CNDAL,CNYPG,CNRUG,CNZZU,TWKAO,CNZJG,CNSLH,AUFRE,CNDJK,CNBYQ,CNLKU,CNSDG,MYTPP,CNCGM,CNXIA,CNBHI,TWMAI,CNRIZ,CNSHE,SGSGP,MY2243,CNJIJ,TWTAP,CNZHA,CNQUA,CNZHE,CNDDG,CNWEN,CNCHZ,CNQIZ,CNLYW,CNQHD,CNBAO,CNQIN,CNCFD,CNNJG,CNGLA,CNWEI,IDSAM,CNMJS,JPKAW,KRPOH,KRGWA,KRDAN,JPFUK,JPOIT,JPKIS,JPSKI,KRULS,KRINC,JPNAG,JPCBA,JPYOK,KRPYT,KRBUS,JPMIZ,JPKMA,JPOSK,AUGLE,AUMEL,AUNTL,AUADE,AUBRI,AUHAY"
OARAFSKKK,"USSEA,USLSA,CAVCR,USOAK,MXLCS,MXMAN,PECAL,PABAL,USSAV,USCHA,USNYK,COBUE,CLSAN,CLTAL,UYULA,BRTUB,BRPDM,ARBNA,BRPAR,BRRDJ,UYMON,BRSTS,BRITA,BRRGR,GBSOU,FRLEH,BEZEE,FRFOS,SIKOP,ITGOA,DEHAM,ESBAR,MTMAL,ESCAR,BEANT,PLGDA,ESGIJ,NLROT,TRMER,TRYAR,TRALI,EGPSA,UAODS,JOAQA,ROCON,EGALE,EGDAM,SAJUB,SADMA,SAJED,QARAS,KWMAA,AEJAL,AEABU,AERUW,OMSOH,AEFUJ,PKQAS,PKKAR,INMUN,THLCB,THKSI,VNHPG,VNCAM,CNHUI,CNPAN,MY3182,CNLSN,HKHKG,CNFAN,CNNBO,CNZOS,CNGUA,CNFUN,CNJIN,CNHUA,CNTAI,CNTJN,MYPKE,MYPAG,CNYSN,CNWGQ,CNCJK,CNJIT,CNYZH,CNNSA,CNDSN,CNYTN,CNJIA,CNLYG,CNYAN,AUESP,CNMEZ,CNDAL,CNYPG,TWKAO,CNZJG,CNSLH,CNDJK,CNBYQ,CNLKU,CN9878,CNSDG,CNMWN,CNCGM,CNXIA,CN2039,CNRIZ,CNSHE,SGSGP,MY2243,TWTAP,CNZHA,CNZHE,CNDDG,CNQIZ,CNLYW,CNQHD,CNBAO,CNQIN,CNCFD,CNGLA,CNWEI,CNMJS,JPKAW,KRPOH,KRGWA,KRDAN,JPFUK,JPOIT,JPKIS,JPSKI,KRULS,KRINC,JPNAG,JPCBA,JPYOK,KRPYT,KRBUS,JPMIZ,JPKMA,KRYOS,AUGLE,AUNTL,AUBRI,AUSYD,AUHAY,RUNJK"
OFFGYGGKK,"USLSA,CAVCR,USOAK,MXLCS,MXMAN,PECAL,ECGYL,USSAV,USNYK,COBUE,CLTAL,UYULA,BRPEC,BRTUB,BRPAR,BRRDJ,UYMON,BRSTS,BRRGR,GBSOU,FRLEH,BEZEE,NLAMS,SIKOP,ITGOA,DEHAM,MTMAL,ESCAR,BEANT,PLGDA,ESGIJ,NLROT,ZACPT,TRYAR,GRAGT,TRALI,ZARIB,EGPSA,JOAQA,ROCON,EGALE,SAJUB,BHBAH,KEMOM,SADMA,QAUMS,SAJED,SAYAN,KWMAA,AEJAL,AEABU,AERUW,OMSOH,AEFUJ,PKQAS,PKKAR,INKNP,INMUN,THLCB,THKSI,VNHPG,VNCAM,CNHUI,CNPAN,CNTAZ,CNLSN,HKHKG,AUGER,CNNTG,CNFAN,CNNBO,CNPYU,CNZOS,CNGUA,CNFUN,CNJIN,CNHUA,CNTAI,CNDCB,CNTJN,MYPKE,MYPAG,IDBAH,CNSTO,CNYSN,CNWGQ,CNCJK,CNJIT,CN9873,CNYZH,CNNSA,CNDSN,CNLAZ,CNYTN,CNJIA,CN1087,CNLYG,CNYAN,AUESP,CNCHS,CNMEZ,CNDAL,CNYPG,CNRUG,CNZZU,TWKAO,CNZJG,CNSLH,AUFRE,CNDJK,CNBYQ,CNLKU,CNSDG,MYTPP,CNPLI,CNCGM,CNXIA,CNBHI,TWMAI,CNRIZ,CNSHE,SGSGP,MY2243,CNJIJ,TWTAP,CNZHA,CNQUA,CNZHE,CNDDG,CNWEN,CNCHZ,CNQIZ,CNLYW,CNQHD,CNBAO,CNQIN,CNCFD,CNNJG,CNGLA,CNWEI,IDSAM,JPKAW,KRPOH,KRGWA,KRDAN,JPFUK,JPOIT,JPKIS,JPSKI,KRULS,KRINC,JPNAG,JPCBA,JPYOK,KRPYT,KRBUS,JPMIZ,JPKMA,JPOSK,AUGLE,AUMEL,AUNTL,AUADE,AUBRI"
OAOFCKKKK,"USLSA,CAVCR,USOAK,MXLCS,MXMAN,PECAL,ECGYL,USNYK,COBUE,UYULA,BRPAR,BRRDJ,UYMON,BRSTS,BRRGR,GBSOU,FRLEH,BEZEE,NLAMS,SIKOP,ITGOA,DEHAM,MTMAL,BEANT,PLGDA,ESGIJ,NLROT,TRYAR,GRAGT,ZARIB,JOAQA,ROCON,EGALE,SAJUB,BHBAH,KEMOM,SADMA,QAUMS,SAJED,SAYAN,KWMAA,AEJAL,AEABU,OMSOH,AEFUJ,PKQAS,PKKAR,INKNP,INMUN,THLCB,THKSI,VNHPG,VNCAM,CNHUI,CNPAN,CNTAZ,MY3182,CNLSN,HKHKG,AUGER,CNNTG,CNFAN,CNNBO,CNPYU,CNZOS,CNGUA,CNFUN,CNJIN,CNHUA,CNTAI,CNDCB,CN9862,CNTJN,MYPKE,MYPAG,IDBAH,CNSTO,CNYSN,CNWGQ,CNCJK,CNJIT,CN9873,CNYZH,CNNSA,CNDSN,CNLAZ,CNYTN,CNJIA,CN1087,CNLYG,CNYAN,AUESP,CNCHS,CNMEZ,CNDAL,CNYPG,CNRUG,CNZZU,TWKAO,CNZJG,AUFRE,CNDJK,CNBYQ,CNLKU,MYTBS,CNSDG,MYTPP,CNMWN,CNCGM,CNXIA,CNBHI,TWMAI,CNRIZ,CNSHE,SGSGP,CNJIJ,TWTAP,CNZHA,CNQUA,CNZHE,CNDDG,CNWEN,CNQIZ,CNQHD,CNBAO,CNQIN,CNCFD,CNNJG,CNGLA,MYPGG,CNWEI,IDSAM,KRPOH,KRGWA,KRDAN,JPFUK,JPOIT,JPKIS,JPSKI,KRULS,KRINC,JPNAG,JPCBA,JPYOK,KRPYT,KRBUS,JPMIZ,JPKMA,KRYOS,JPOSK,AUGLE,AUMEL,AUNTL,AUADE,AUBRI,RUNJK"
OAORCSKKK,"USSEA,CAPRR,USLSA,CAVCR,USOAK,MXESE,MXLCS,MXMAN,PECAL,PABAL,USSAV,USCHA,USNYK,COBUE,CLSAN,CLTAL,UYULA,CLLIR,BRPDM,ARBNA,BRPAR,BRRDJ,UYMON,BRSTS,BRIJI,BRRGR,FRLEH,BEZEE,SIKOP,ITGOA,DEHAM,ESBAR,MTMAL,BEANT,PLGDA,NLROT,TRMER,TRYAR,EGSOK,TRALI,EGPSA,UAODS,JOAQA,ROCON,EGALE,EGDAM,SAJUB,SADMA,SAJED,KWMAA,AEJAL,AEABU,AERUW,OMSOH,AEKHA,AEFUJ,PKKAR,INNSA,LKCOL,INMUN,THLCB,VNHPG,VNCAM,CNHUI,MY3182,CNLSN,HKHKG,CNFAN,CNNBO,CNZOS,CNFUN,CNJIN,CNHUA,CNTAI,CNTJN,MYPKE,CNYSN,CNWGQ,CNCJK,CNJIT,CNNSA,CNYTN,CNJIA,CNLYG,CNYAN,AUESP,CNMEZ,CNDAL,CNYPG,TWKAO,CNZJG,CNSLH,CNDJK,CNBYQ,CNSDG,CNMWN,CNCGM,CNXIA,CNRIZ,CNSHE,SGSGP,TWTAP,CNZHA,CNZHE,CNDDG,CNQIZ,CNLYW,CNBAO,CNQIN,CNCFD,CNMJS,JPKAW,KRPOH,KRGWA,JPFUK,JPOIT,JPKIS,JPSKI,KRULS,KRINC,JPNAG,JPCBA,JPYOK,KRBUS,JPMIZ,JPKMA,KRYOS,AUGLE,AUNTL,AUHAY"
OAROYCSNK,"CAVCR,MXLCS,USLUA,MXMAN,PECAL,ECGYL,USNYK,UYULA,BRVIT,BRRDJ,UYMON,BRSTS,BRRGR,GBBEL,PTLXS,MACAS,GBSOU,GHTEM,IEDUB,CIABI,FRLEH,BEZEE,SIKOP,ITGOA,NLVSG,ESHUE,ITTAR,ESTAR,DZDJE,DEHAM,ITRAV,FRROU,MTMAL,BEANT,PLGDA,ESGIJ,NLROT,DEBRA,ESBIL,TRGEB,LVRIX,TRYAR,ZADUR,FIHEL,GRAGT,TRLMA,TRDER,ZARIB,JOAQA,LTKLJ,FIKOT,ROCON,ZAPLZ,UACHO,EGALE,BHBAH,KEMOM,TZDRS,SADMA,SAJED,SAYAN,KWMAA,AEJAL,AEABU,AERAK,RUSPG,OMSOH,AEFUJ,PKQAS,PKKAR,INKAN,INKNP,INMUN,THLCB,VNNGH,IDJAK,VNHCM,VNHPG,VNCAM,VNQUN,IDSUR,CNHUM,CNCJN,CNHUI,CNCZH,CNSHD,CNLSN,HKHKG,AUGER,CNNTG,CNFAN,CNDAF,CNYJG,CNNBO,CNZOS,CNGUA,CNFUN,CNJIN,CNHKO,CNHPU,CNDYI,CNHUA,CNTAI,CNDCB,CNTJN,MYKUA,MYPKE,MYPAG,IDBAH,CNSTO,CNYSN,CNWGQ,CNCJK,CNJIT,CNYZH,CNNSA,CNDSN,CNTAX,CNLAZ,CNFUZ,CNYTN,CNJIA,TWHLN,CNLYG,CNYAN,CNCHS,CNMEZ,CNDAL,CNYPG,CNRUG,CNZZU,TWKAO,CNZJG,AUFRE,CNBAS,CNDJK,CNBYQ,CNLKU,CNSHS,CNSDG,CNPLI,CNCGM,CNXIA,CNBHI,TWMAI,CNRIZ,CNSHE,SGSGP,TWTCH,CNJIJ,CNZHA,CNZPU,CNQUA,CNZHE,CNDDG,CNWEN,CNCHZ,CNQIZ,CNQHD,CNBAO,CNQIN,CNLVS,CNCFD,CNNJG,CNGLA,CNDNG,CNWEI,IDSAM,CNNDE,KRPOH,KRKUN,KRGWA,JPHIB,KRDAN,JPFUK,JPOIT,JPKIS,JPSKI,KRULS,KRINC,JPNAG,JPYOK,KRPYT,KRBUS,JPMIZ,JPKMA,JPOSK,AUGLE,AUMEL,AUNTL,AUPKE,AUADE,AUBRI,NZAKL,NZTAU,NZNAP"
OFFKRKFKK,"USLGB,BEZEE,DEHAM,BEANT,PLGDA,NLROT,GRPIR,SADMA,AEJAL,AEKHA,VNCMP,HKHKG,CNNBO,CNZOS,CNTJN,MYPKE,CNYSN,CNNSA,CNYTN,CNLYG,CNDAL,TWKAO,CNXIA,SGSGP,CNQIN,KRGWA"
OACNFKKKK,"USLSA,CAVCR,USOAK,GTPQL,MXLCS,MXMAN,PECAL,PABAL,ECGYL,USNPN,USSAV,USNYK,COBUE,CLTAL,UYULA,BRPEC,BRTUB,BRPDM,BRPAR,BRRDJ,UYMON,BRSTS,BRITA,BRRGR,GBSOU,FRLEH,BEZEE,NLAMS,SIKOP,ITGOA,DEHAM,ESBAR,MTMAL,ESCAR,BEANT,PLGDA,ESGIJ,NLROT,TRMER,ZACPT,TRYAR,GRELE,GRAGT,TRALI,ZARIB,EGPSA,JOAQA,ROCON,EGALE,EGDAM,SAJUB,BHBAH,KEMOM,SADMA,QAUMS,SAJED,SAYAN,KWMAA,AEJAL,AEABU,AERUW,OMSOH,AEFUJ,RUULG,PKQAS,PKKAR,INCHN,INKNP,INMUN,INVIS,THLCB,THKSI,VNHPG,VNCAM,VNSOD,CNHUI,CNPAN,CNTAZ,MY3182,CNLSN,HKHKG,AUGER,CNNTG,CNFAN,CNNBO,CNPYU,CNZOS,CNGUA,CNFUN,CNJIN,CNHUA,CNTAI,CNDCB,CN9862,CNTJN,MYPKE,MYPAG,IDBAH,CNSTO,CNYSN,CNWGQ,CNCJK,CNJIT,CN9873,CNYZH,CNNSA,CNDSN,CNLAZ,CNYTN,CNJIA,CN1087,CNLYG,CNYAN,AUESP,CNCHS,CNMEZ,CNDAL,CNYPG,CNRUG,CNZZU,CNSWE,TWKAO,CNZJG,CNSLH,AUFRE,CNDJK,CNBYQ,CNLKU,MYTBS,CNSDG,MYTPP,CNMWN,CNCGM,CNXIA,CNBHI,TWMAI,CNRIZ,CNSHE,SGSGP,MY2243,CNJIJ,TWTAP,CNZHA,CNQUA,CNZHE,CNDDG,CNWEN,CNCHZ,CNQIZ,CNLYW,CNQHD,CNBAO,CNQIN,CNCFD,CNNJG,CNGLA,MYPGG,CNWEI,IDSAM,CNMJS,JPKAW,KRPOH,KRGWA,KRDAN,JPFUK,JPOIT,JPKIS,JPSKI,KRULS,KRINC,JPNAG,JPCBA,JPYOK,KRPYT,KRBUS,JPMIZ,JPKMA,KRYOS,JPOSK,AUGLE,AUMEL,AUNTL,AUADE,AUBRI,AUHAY,RUNJK"
