ship_mmsi,start_port,end_port
OFFYARAKK,AEABU,AEJAL
OFFFGGCKK,AEABU,SADMA
OAROYCONK,AEFUJ,AEABU
RFCCNAKKK,AEFUJ,AEZUR
OARACAKKK,AEFUJ,AEZUR
OAOCAOKKK,AEFUJ,JPCBA
OFFSNKGKK,AEFUJ,JPKII
OFFGSGAKK,AEFUJ,JPOIT
OAOFCSKKK,AEFUJ,KEMOM
OFFAKSCKK,AEFUJ,KRGWA
OAOOFGKKK,AEFUJ,MY3176
OAOCARKKK,AEFUJ,OMMAF
OFFSNKGKK,AEFUJ,SAJUT
OFFNYNNKK,AEFUJ,SAJUT
NGGAFNKKK,AEFUJ,TWMAI
OFFROKOKK,AEHAM,BHBAH
OFFYARAKK,AEJAL,AEABU
OAROFAYFK,AEJAL,AEABU
OARARRKKK,AEJAL,AEKHA
OFFNYSOKK,AEJAL,AEKHA
OFFNYSOKK,AEJAL,AEKHA
OFFFACOKK,AEJAL,AEKHA
OFFNYSOKK,AEJAL,AEKHA
OARKGRKKK,AEJAL,AEKHA
OFFFACOKK,AEJAL,AEKHA
OFFRKSAKK,AEJAL,AEKHA
OFFCCYOKK,AEJAL,AEKHA
OFFRKSAKK,AEJAL,AEKHA
OFFCCYOKK,AEJAL,AEKHA
OFFFACSKK,AEJAL,AEKHA
OFFAGSYKK,AEJAL,AEKHA
OFFRKSAKK,AEJAL,AEKHA
OFFCCYOKK,AEJAL,AEKHA
OFFAGSYKK,AEJAL,AEKHA
OFFRONYKK,AEJAL,AEKHA
OFFOFGSKK,AEJAL,AEKHA
OFFCCYOKK,AEJAL,AEKHA
OFFRONYKK,AEJAL,AEKHA
OARARRKKK,AEJAL,AEKHA
OFFOFGSKK,AEJAL,AEKHA
OFFCFOOKK,AEJAL,AEKHA
OFFCCYOKK,AEJAL,AEKHA
OFFAKKRKK,AEJAL,AEKHA
OFFCFOOKK,AEJAL,AEKHA
OFFRONYKK,AEJAL,AEKHA
OFFCCYOKK,AEJAL,AEKHA
OFFOFGSKK,AEJAL,AEKHA
OFFOFGSKK,AEJAL,AEKHA
OFFOFGSKK,AEJAL,AEKHA
OFFOFGSKK,AEJAL,AEKHA
OFFAKKRKK,AEJAL,AEKHA
OFFOFGSKK,AEJAL,AEKHA
OFFRONYKK,AEJAL,AEKHA
OFFRKCYKK,AEJAL,AEKHA
OFFRKCYKK,AEJAL,AEKHA
OFFRONYKK,AEJAL,AEKHA
OFFGNCRKK,AEJAL,AEKHA
OFFRKCYKK,AEJAL,AEKHA
OFFRKCYKK,AEJAL,AEKHA
OFFOCFNKK,AEJAL,AEKHA
RNGFYAKKK,AEJAL,BRTUB
OARKGNKKK,AEJAL,CNNBO
OFFKFFSKK,AEJAL,CNNSA
OAROYKOAK,AEJAL,INMUN
OARARRKKK,AEJAL,INNSA
OARARRKKK,AEJAL,INNSA
OARKGOKKK,AEJAL,INNSA
OARARRKKK,AEJAL,INNSA
OAROFSCRK,AEJAL,KWMAA
OFFOFGSKK,AEJAL,MYPKE
OFFGOAYKK,AEJAL,OMSOH
OAROYCONK,AEJAL,OMSOH
OFFCSCYKK,AEJAL,PKKAR
OFFFGNYKK,AEJAL,PKKAR
OARKGOKKK,AEJAL,PKKAR
OARKGKKKK,AEJAL,PKKAR
OFFFGNYKK,AEJAL,PKKAR
OARKGKKKK,AEJAL,PKKAR
OFFOCFNKK,AEJAL,PKKAR
OFFFGNYKK,AEJAL,PKKAR
OARKGOKKK,AEJAL,PKKAR
OFFFGNYKK,AEJAL,PKKAR
OFFFGNYKK,AEJAL,PKKAR
OARKGKKKK,AEJAL,PKKAR
OFFFGNYKK,AEJAL,PKKAR
OFFFGNYKK,AEJAL,PKKAR
OARARSKKK,AEJAL,PKKAR
OFFGRSSKK,AEJAL,PKKAR
OARARRKKK,AEJAL,PKQAS
OFFANSFKK,AEJAL,QAHMD
OFFCSCYKK,AEJAL,QAHMD
OFFANSFKK,AEJAL,QAHMD
OFFANSFKK,AEJAL,QAHMD
OFFNYSOKK,AEJAL,QAHMD
OFFCSCYKK,AEJAL,QAHMD
OARARRKKK,AEJAL,QAHMD
OAOFOAKKK,AEJAL,QARAS
NGNAKAKKK,AEJAL,QAUMS
OFFGNCRKK,AEJAL,SADMA
OAROFAYFK,AEJAL,SADMA
OFFAGSYKK,AEJAL,SADMA
OFFCSCYKK,AEJAL,SADMA
OFFRKSAKK,AEJAL,SADMA
OFFRONYKK,AEJAL,SADMA
OFFRONYKK,AEJAL,SADMA
OFFSNKOKK,AEJAL,SADMA
OFFRKSAKK,AEJAL,SADMA
OFFANSFKK,AEJAL,SAJED
OFFCSCYKK,AEJAL,SAJED
OARKGOKKK,AEJAL,SAJED
OFFANSFKK,AEJAL,SAJED
OFFCSCYKK,AEJAL,SAJED
OFFANSFKK,AEJAL,SAJED
OFFANSFKK,AEJAL,SAJED
OFFANSFKK,AEJAL,SAJUB
OFFROFNKK,AEJAL,SAJUB
OFFCAFSKK,AEJAL,SGSGP
OFFAGSYKK,AEKHA,AEJAL
OFFKFFSKK,AEKHA,AEJAL
OARKGNKKK,AEKHA,AEJAL
OFFAGSYKK,AEKHA,MYPKE
OFFGNCRKK,AEKHA,MYPKE
OFFRKCYKK,AEKHA,MYPKE
OFFGNCRKK,AEKHA,MYPKE
OFFRONYKK,AEKHA,MYPKE
OFFRKCYKK,AEKHA,MYPKE
OFFAKKRKK,AEKHA,MYPKE
OFFRKCYKK,AEKHA,MYPKE
OFFRONYKK,AEKHA,MYPKE
OFFRKCYKK,AEKHA,MYPKE
OFFOFGSKK,AEKHA,MYPKE
OFFOFGSKK,AEKHA,MYPKE
OFFOFGSKK,AEKHA,MYPKE
OFFAKKRKK,AEKHA,MYPKE
OFFRONYKK,AEKHA,MYPKE
OFFCCYOKK,AEKHA,MYPKE
OFFCFOOKK,AEKHA,MYPKE
OFFCFOOKK,AEKHA,MYPKE
OFFOFGSKK,AEKHA,MYPKE
OFFRONYKK,AEKHA,MYPKE
OFFCCYOKK,AEKHA,MYPKE
OFFRONYKK,AEKHA,MYPKE
OFFCCYOKK,AEKHA,MYPKE
OFFAGSYKK,AEKHA,MYPKE
OFFRONYKK,AEKHA,MYPKE
OFFRKSAKK,AEKHA,MYPKE
OFFCCYOKK,AEKHA,MYPKE
OFFAGSYKK,AEKHA,MYPKE
OFFRKSAKK,AEKHA,MYPKE
OFFCCYOKK,AEKHA,MYPKE
OFFRKSAKK,AEKHA,MYPKE
OFFFACSKK,AEKHA,MYPKE
OFFRKSAKK,AEKHA,MYPKE
OFFRKSAKK,AEKHA,MYPKE
OFFFACOKK,AEKHA,MYPKE
OFFNYSOKK,AEKHA,MYPKE
OFFFACOKK,AEKHA,MYPKE
OFFNYSOKK,AEKHA,MYPKE
OARARRKKK,AEKHA,PKQAS
OARARRKKK,AEKHA,PKQAS
OFFRONYKK,AEKHA,SADMA
OFFRKCYKK,AEKHA,SADMA
OFFOFGSKK,AEKHA,SADMA
OFFOFGSKK,AEKHA,SADMA
OFFOFGSKK,AEKHA,SADMA
OFFFACSKK,AEKHA,SADMA
OFFOFGSKK,AEKHA,SADMA
OFFRKSAKK,AEKHA,SADMA
OFFAKKRKK,AEKHA,SADMA
OFFRONYKK,AEKHA,SADMA
OFFNYSOKK,AEKHA,SADMA
OFFCFOOKK,AEKHA,SADMA
OFFCFOOKK,AEKHA,SADMA
OFFCCYOKK,AEKHA,SADMA
OFFCCYOKK,AEKHA,SADMA
OFFRKSAKK,AEKHA,SADMA
OFFRONYKK,AEKHA,SADMA
OFFCCYOKK,AEKHA,SADMA
OFFAGSYKK,AEKHA,SADMA
OFFFACOKK,AEKHA,SADMA
OFFGNCRKK,AEKHA,SADMA
OFFRKCYKK,AEKHA,SADMA
OFFNYSOKK,AEKHA,SADMA
OFFRKSAKK,AEKHA,SADMA
OFFRONYKK,AEKHA,SADMA
OFFOFGSKK,AEKHA,SADMA
OFFRKCYKK,AEKHA,SADMA
OFFAGSYKK,AEKHA,SADMA
OFFNYSOKK,AEKHA,SADMA
OFFRKCYKK,AEKHA,SADMA
OFFRONYKK,AEKHA,SADMA
OFFAKKRKK,AEKHA,SADMA
OFFFACOKK,AEKHA,SADMA
OFFOFGSKK,AEKHA,SADMA
OFFCCYOKK,AEKHA,SADMA
OFFOFGSKK,AEKHA,SADMA
OFFNYSOKK,AEKHA,SGSGP
OAROYCONK,AERAK,AEJAL
OACRORKKK,AERAK,IDMEU
OACRORKKK,AERAK,IDMEU
OFFAGCAKK,AERAK,INDHM
OFFGSOAKK,AERAK,INDHM
OAOFACKKK,AERAK,INPAR
OARRRKKKK,AERAK,TZDRS
OAOCKSKKK,AERUW,AEDAS
OFFCRROKK,AERUW,INMUN
OFFKCRCKK,AERUW,MAJOL
OARASSKKK,AERUW,SAJUT
OAOOSKKKK,AERUW,SAJUT
RFCCNAKKK,AERUW,SAJUT
NGGAFNKKK,AERUW,SGSGP
OAOFRAKKK,AERUW,TWMAI
OFFFARRKK,AESJH,QAUMS
OFFROFNKK,AESJH,SAJUB
OARACSKKK,AEZUR,AEFUJ
OARANFKKK,AEZUR,AEFUJ
OAOCKSKKK,AEZUR,CNDAL
OARASRKKK,AEZUR,CNZHA
NGRKGAFKK,AEZUR,CNZOS
OARASKKKK,AEZUR,KWMAA
OARANFKKK,AEZUR,QAASN
RFCCNAKKK,AEZUR,SAJUT
OARASSKKK,AEZUR,SGSGP
OFFCNCAKK,AO8668,CNHUI
OAOOGOKKK,AO8668,CNHUI
OFFGNCAKK,AO9001,XZKMN
OAOCANKKK,AO9992,CNHUI
OAOOFOKKK,AO9992,CNHUI
NGRKASOKK,AO9992,CNLSN
OFFAOCAKK,AODLA,AOPAZ
OACKGYKKK,ARARS,ARSLO
OFFKKCSKK,ARARS,EGALE
OAOFNRKKK,ARARS,EGDAM
OFFKKCSKK,ARARS,MACAS
OARAYCKKK,ARARS,UYNPA
OFFRRRYKK,ARBNA,BRIJI
OARAFAKKK,ARBNA,BRIJI
OFFRRRYKK,ARBNA,BRIJI
OARAFAKKK,ARBNA,BRPAR
OFFAASGKK,ARBNA,BRPAR
OFFRRRYKK,ARBNA,BRPAR
OFFKORCKK,ARBNA,BRRGR
OFFKORCKK,ARBNA,BRRGR
OFFKORCKK,ARBNA,BRRGR
OFFRRRYKK,ARBNA,UYMON
OAOKACKKK,ARBNA,UYPTP
OFFGOSGKK,ARBNA,UYPTP
OAONSSKKK,ARBNA,UYPTP
OACOGYKKK,ARBNA,UYPTP
OAOONNKKK,ARBNA,UYPTP
OFFGOSGKK,ARBNA,UYPTP
OFFGRCNKK,ARBNA,UYPTP
OACKRCKKK,ARCAM,ARSLO
OARNCGKNK,ARCAM,USLUA
OFFCCCAKK,ARQUE,IDPJG
OFFAAONKK,ARQUE,VNPHU
OFFCCCAKK,ARRAM,ARQUE
OARAYCKKK,ARSLO,ARARS
OFFAAONKK,ARSLO,ARQUE
OACKGSKKK,ARSLO,ARQUE
OFFCCCAKK,ARSLO,ARRAM
OFFYARAKK,ARSLO,ARROS
OACKRCKKK,ARSLO,BRPAR
RNOGORKKK,ARSLO,GBBEL
OARGSGKKK,ARSLO,GBBEL
OARRFGKKK,ARSLO,UYNPA
OFFAGCAKK,ARSNS,ARROS
OFFCCCAKK,ARSNS,ARSLO
OFFRKAAKK,ARVCO,ARSLO
OAROSYYCK,AUADE,AUBNE
CRNKGSKRC,AUADE,AUFRE
CRNKGSKRC,AUADE,AUFRE
CRNKGSKCN,AUADE,AUFRE
CRNKGSKRC,AUADE,AUFRE
CRNKGSKRC,AUADE,AUFRE
CRNKGSKCN,AUADE,AUMEL
CRNKGSKCN,AUADE,AUMEL
CRNKGSKCN,AUADE,AUMEL
CRNKGSKRC,AUADE,AUSYD
CRNKGSKRC,AUADE,AUSYD
CRNKGSKRC,AUADE,AUSYD
CRNKGSKRC,AUADE,AUSYD
OACOFSFCK,AUADE,AUWHY
OARNCFGGK,AUADE,SGSGP
CRNKGSKCN,AUADE,SGSGP
OARNCFYAK,AUADE,SGSGP
CRNKGSKCN,AUADE,SGSGP
NGNAKAKKK,AUALB,KRPYT
RFAAACKKK,AUAPT,AUGLE
OFFKAGRKK,AUAPT,IDBAH
OFFCYRNKK,AUAPT,TWKAO
OFFAKKCKK,AUBNE,AUDEV
OFFAKKCKK,AUBNE,AUGEE
OFFAKKCKK,AUBRI,AUMKY
OARAYCKKK,AUBRI,AUPKE
OARACNKKK,AUBRI,CNSHE
CRNKGSKCY,AUBRI,CNXIA
CRNKGSKCY,AUBRI,CNXIA
CRNKGSKCY,AUBRI,CNXIA
CRNKGSKRA,AUBRI,CNXIA
CRNKGSKCY,AUBRI,CNXIA
CRNKGSKRA,AUBRI,CNXIA
CRNKGSKCY,AUBRI,CNXIA
CRNKGSKCY,AUBRI,CNXIA
CRNKGSKRA,AUBRI,CNXIA
CRNKGSKRA,AUBRI,CNXIA
CRNKGSKRA,AUBRI,CNXIA
CRNKGSKRA,AUBRI,CNXIA
CRNKGSKRA,AUBRI,CNXIA
CRNKGSKRA,AUBRI,CNXIA
OARACNKKK,AUBRI,CNXIA
OARACNKKK,AUBRI,CNXIA
OARACNKKK,AUBRI,CNXIA
OARACNKKK,AUBRI,CNXIA
OARACNKKK,AUBRI,CNXIA
OARACNKKK,AUBRI,CNXIA
OARACNKKK,AUBRI,CNXIA
OARKNKKKK,AUBRI,JPYOK
OARKNKKKK,AUBRI,JPYOK
OARKNKKKK,AUBRI,JPYOK
OARKNKKKK,AUBRI,JPYOK
OARKNKKKK,AUBRI,JPYOK
OARKNKKKK,AUBRI,JPYOK
OARKNKKKK,AUBRI,JPYOK
OARAFKKKK,AUBRI,NZAKL
OARAFKKKK,AUBRI,NZAKL
OARAFKKKK,AUBRI,NZAKL
OARAFKKKK,AUBRI,NZAKL
OARNCFYSK,AUBRI,SGSGP
OARNCFKSK,AUBRI,SGSGP
OAORKOKKK,AUBRI,TWKAO
OAORKOKKK,AUBRI,TWKAO
OAORKOKKK,AUBRI,TWKAO
OFFRSFFKK,AUBUN,AUGER
OFFAKKCKK,AUCNS,AUTOW
RFKKFAKKK,AUCPN,CNGLA
OFFFFGNKK,AUCPN,CNJIT
OAOKFRKKK,AUCPN,CNJIT
OACNRRKKK,AUCPN,CNLSN
OFFARAGKK,AUCPN,CNLSN
OACNROKKK,AUCPN,CNNBO
OAOKFKKKK,AUCPN,CNNBO
OARYSOKKK,AUCPN,CNNBO
RFKKFAKKK,AUCPN,CNZOS
OACNROKKK,AUCPN,CNZOS
RNGKFFKKK,AUCPN,CNZOS
OFFNNCNKK,AUCPN,CNZOS
RFKKFAKKK,AUCPN,CNZOS
OFFAKKCKK,AUDEV,AUBNE
OFFFARRKK,AUDEV,AUNTL
OFFGNCYKK,AUDPR,CNCFD
OFFGGNAKK,AUDPR,CNCFD
OFFOCOYKK,AUDPR,CNCFD
OFFFRKAKK,AUDPR,CNCJN
OFFOOACKK,AUDPR,CNDDG
OFFGGNAKK,AUDPR,CNJIT
OFFGGOCKK,AUDPR,CNJIT
OFFRAYCKK,AUDPR,CNMJS
OFFGNCYKK,AUDPR,CNMJS
OFFGNCYKK,AUDPR,CNMJS
OFFGGOCKK,AUDPR,CNNBO
OFFOOACKK,AUDPR,CNNBO
OFFGGNAKK,AUDPR,CNQIN
OFFGGNFKK,AUDPR,CNRIZ
OFFKYYNKK,AUDPR,CNZOS
OACOASKKK,AUDPR,IDTBN
NGRKCRGKK,AUDWN,CNQIZ
NGNAKKKKK,AUDWN,CNQIZ
NGNAKAKKK,AUDWN,CNQIZ
NGRKCRGKK,AUDWN,CNTJN
NGRKCRGKK,AUDWN,CNTJN
NGNAKKKKK,AUDWN,CNTJN
NGRKCRGKK,AUDWN,MYSAM
NGRKCRGKK,AUDWN,MYSAM
OFFROFNKK,AUESP,AUGER
OFFKCRAKK,AUESP,CNNBO
OFFGRFSKK,AUESP,CNRIZ
CRNKGSKRC,AUFRE,AUADE
CRNKGSKRC,AUFRE,AUADE
OFFSANNKK,AUFRE,AUADE
CRNKGSKCN,AUFRE,AUADE
CRNKGSKCN,AUFRE,AUADE
CRNKGSKRC,AUFRE,AUADE
CRNKGSKCN,AUFRE,AUADE
CRNKGSKRC,AUFRE,AUADE
CRNKGSKCN,AUFRE,AUADE
OFFRSFFKK,AUFRE,AUBUN
GRGKANAAK,AUFRE,AUBUN
CRNKGSKCN,AUFRE,AUMEL
CRNKGSKRC,AUFRE,AUMEL
CRNKGSKRC,AUFRE,AUMEL
CRNKGSKCN,AUFRE,AUMEL
CRNKGSKCN,AUFRE,AUSYD
CRNKGSKCN,AUFRE,AUSYD
CRNKGSKRC,AUFRE,AUSYD
CRNKGSKRC,AUFRE,SGSGP
CRNKGSKCN,AUFRE,SGSGP
OARNCFKSK,AUFRE,SGSGP
OARNCFKSK,AUFRE,SGSGP
CRNKGSKCN,AUFRE,SGSGP
CRNKGSKRC,AUFRE,SGSGP
CRNKGSKRC,AUFRE,SGSGP
CRNKGSKRC,AUFRE,SGSGP
CRNKGSKRC,AUFRE,SGSGP
CRNKGSKRC,AUFRE,SGSGP
CRNKGSKRC,AUFRE,SGSGP
OARNCFYAK,AUGEE,AUADE
OFFFARRKK,AUGEE,AUDEV
OFFCARFKK,AUGEE,AUGLE
OFFAKKCKK,AUGEE,AUHBT
OFFAKKCKK,AUGEE,AUHBT
OARNCFYSK,AUGEE,SGSGP
OARNCFYAK,AUGEE,SGSGP
OARNCFYAK,AUGEE,SGSGP
OARNCFKSK,AUGEE,SGSGP
OFFROFNKK,AUGER,AUBUN
OARGSFKKK,AUGER,CNBYQ
OFFNNCGKK,AUGER,CNBYQ
OFFKNKYKK,AUGER,CNBYQ
OFFNNCGKK,AUGER,CNCFD
OFFNYNYKK,AUGER,CNJIT
OFFKNKYKK,AUGER,CNJIT
OFFNYNYKK,AUGER,CNJIT
OFFKAGRKK,AUGER,CNLYG
OFFKAGRKK,AUGER,CNLYG
OFFKNKYKK,AUGER,CNLYG
OFFNNCGKK,AUGER,CNLYW
OFFKNKYKK,AUGER,CNLYW
OFFCYROKK,AUGER,CNLYW
OAOFCOKKK,AUGER,CNNBO
OAOFANKKK,AUGER,CNNBO
OFFNNCNKK,AUGER,CNNBO
OFFKNKOKK,AUGER,CNZHE
OFFNNCGKK,AUGER,CNZHE
OFFAKKCKK,AUGLE,AUCNS
OACNROKKK,AUGLE,IDBAH
RFAAACKKK,AUGLE,JPMIZ
OFFARAGKK,AUGLE,KRDAN
OAROFSCRK,AUGLE,KRINC
OACSNYKKK,AUGLE,KRPOH
OARNORKKK,AUHAY,AUAPT
OFFCYRNKK,AUHAY,AUAPT
OFFNNCNKK,AUHAY,IDBAH
OFFGYGFKK,AUHAY,JPKMA
OFFAAONKK,AUHAY,KRPYT
NGNAKAKKK,AUHAY,TWKAO
OFFAAONKK,AUHAY,TWTAP
OFFORNYKK,AUHAY,VNSOD
OFFFARRKK,AUHBT,AUADE
OFFAKKCKK,AUHBT,AUBNE
CRNKGSKRC,AUMEL,AUADE
CRNKGSKCN,AUMEL,AUADE
CRNKGSKCN,AUMEL,AUADE
CRNKGSKCN,AUMEL,AUADE
CRNKGSKRC,AUMEL,AUADE
CRNKGSKRA,AUMEL,AUBRI
OARACNKKK,AUMEL,AUBRI
OARACNKKK,AUMEL,AUBRI
CRNKGSKRA,AUMEL,AUBRI
CRNKGSKRA,AUMEL,AUBRI
CRNKGSKRA,AUMEL,AUBRI
CRNKGSKRA,AUMEL,AUBRI
CRNKGSKRA,AUMEL,AUBRI
CRNKGSKRA,AUMEL,AUBRI
CRNKGSKCY,AUMEL,AUBRI
CRNKGSKCY,AUMEL,AUBRI
CRNKGSKCY,AUMEL,AUBRI
CRNKGSKCY,AUMEL,AUBRI
CRNKGSKCY,AUMEL,AUBRI
CRNKGSKCY,AUMEL,AUBRI
OARKNKKKK,AUMEL,AUBRI
CRNKGSKCN,AUMEL,AUFRE
CRNKGSKRC,AUMEL,AUFRE
CRNKGSKRC,AUMEL,AUFRE
CRNKGSKRC,AUMEL,AUFRE
OAROFAYNK,AUMEL,AUPKE
OFFRSFFKK,AUMEL,AUPLD
CRNKGSKCY,AUMEL,AUSYD
OAORKOKKK,AUMEL,AUSYD
OARACNKKK,AUMEL,AUSYD
CRNKGSKRA,AUMEL,AUSYD
OARACNKKK,AUMEL,AUSYD
OAORKOKKK,AUMEL,AUSYD
OAORKOKKK,AUMEL,AUSYD
CRNKGSKCY,AUMEL,AUSYD
OAORKOKKK,AUMEL,AUSYD
CRNKGSKCY,AUMEL,AUSYD
OARACNKKK,AUMEL,AUSYD
OARKNKKKK,AUMEL,AUSYD
CRNKGSKRC,AUMEL,AUSYD
OARKNKKKK,AUMEL,AUSYD
OARACNKKK,AUMEL,AUSYD
OARACNKKK,AUMEL,AUSYD
CRNKGSKRA,AUMEL,AUSYD
OARKNKKKK,AUMEL,AUSYD
OARKNKKKK,AUMEL,AUSYD
CRNKGSKCN,AUMEL,AUSYD
OARACNKKK,AUMEL,AUSYD
CRNKGSKRC,AUMEL,AUSYD
OARKNKKKK,AUMEL,AUSYD
CRNKGSKCN,AUMEL,SGSGP
CRNKGSKCN,AUMEL,SGSGP
OFFKARRKK,AUMIB,CNTJN
OFFYKCGKK,AUMIB,CNTJN
OAOFFSKKK,AUMIB,JPHHR
OFFAKKCKK,AUMKY,AUGLE
OFFROFNKK,AUNTL,AUBNE
OAROFAYNK,AUNTL,AUPLD
OFFKCFNKK,AUNTL,AUTOW
RNRSKAKKK,AUNTL,JPKMA
OFFKAKCKK,AUNTL,JPOIT
OFFORNYKK,AUNTL,KRGWA
OFFNNCNKK,AUNTL,KRGWA
OACOFSFCK,AUNTL,NZLYT
OFFCYROKK,AUNTL,TWHLN
OAOKFKKKK,AUPHE,CNBYQ
OFFGNNOKK,AUPHE,CNBYQ
OACNRRKKK,AUPHE,CNBYQ
OACNRRKKK,AUPHE,CNBYQ
RNRSKAKKK,AUPHE,CNBYQ
OFFYCNGKK,AUPHE,CNBYQ
OARNORKKK,AUPHE,CNCFD
OFFFKGOKK,AUPHE,CNCFD
OFFAYCCKK,AUPHE,CNCFD
OFFYCNGKK,AUPHE,CNCFD
OFFKCRAKK,AUPHE,CNCFD
OFFGNNOKK,AUPHE,CNCFD
OFFGNNOKK,AUPHE,CNCFD
OAOKFRKKK,AUPHE,CNDAL
OFFGNNOKK,AUPHE,CNDAL
OFFKAKCKK,AUPHE,CNDAL
RNGKFFKKK,AUPHE,CNDAL
OFFFFGNKK,AUPHE,CNDAL
OARNORKKK,AUPHE,CNDDG
OAOKFKKKK,AUPHE,CNDJK
OARYSRKKK,AUPHE,CNDJK
RFKKFAKKK,AUPHE,CNDJK
OAOKFRKKK,AUPHE,CNDJK
OFFGRGAKK,AUPHE,CNDJK
OFFOOACKK,AUPHE,CNDJK
OFFRAYCKK,AUPHE,CNDJK
RFKKFAKKK,AUPHE,CNDJK
OFFGYGNKK,AUPHE,CNFAN
OARSCFKKK,AUPHE,CNHUA
OFFKAKCKK,AUPHE,CNHUA
OFFRNACKK,AUPHE,CNHUA
OFFKCRAKK,AUPHE,CNHUA
OFFFKSSKK,AUPHE,CNHUA
OFFKSFSKK,AUPHE,CNHUA
OFFGYGNKK,AUPHE,CNHUA
OFFGRFSKK,AUPHE,CNHUA
OFFFKSSKK,AUPHE,CNHUA
OFFKYYNKK,AUPHE,CNHUA
RFKARSKKK,AUPHE,CNJIT
OFFGRFSKK,AUPHE,CNJIT
OFFKSFSKK,AUPHE,CNJIT
OFFKAKCKK,AUPHE,CNJIT
OFFNNKRKK,AUPHE,CNJIT
OFFYCNGKK,AUPHE,CNJIT
OFFSNACKK,AUPHE,CNJIT
OFFAKKGKK,AUPHE,CNJIT
OFFNNKRKK,AUPHE,CNJIT
OFFAYCCKK,AUPHE,CNJIT
OFFRNACKK,AUPHE,CNJIT
OFFGGOCKK,AUPHE,CNLSN
OFFAKKGKK,AUPHE,CNLSN
OFFFAFAKK,AUPHE,CNLSN
OFFGYGNKK,AUPHE,CNLSN
OFFRNANKK,AUPHE,CNLSN
RNFCKRKKK,AUPHE,CNLSN
OARYSOKKK,AUPHE,CNLSN
OARYSOKKK,AUPHE,CNLSN
OFFKSFSKK,AUPHE,CNLYG
OFFAYCCKK,AUPHE,CNLYG
OFFFFGNKK,AUPHE,CNLYG
OFFFKSSKK,AUPHE,CNLYG
OFFKSFSKK,AUPHE,CNLYG
OFFOOACKK,AUPHE,CNLYG
OFFRNANKK,AUPHE,CNLYG
OFFFKSSKK,AUPHE,CNLYG
OFFAKKGKK,AUPHE,CNLYG
OARYSRKKK,AUPHE,CNLYG
OFFKCRAKK,AUPHE,CNLYG
RNFCKRKKK,AUPHE,CNLYG
RNGKFFKKK,AUPHE,CNLYG
RNRSKAKKK,AUPHE,CNLYG
OFFNNKRKK,AUPHE,CNLYG
OFFFKGOKK,AUPHE,CNLYG
OFFGYOFKK,AUPHE,CNLYW
OFFARAGKK,AUPHE,CNLYW
OFFGYGNKK,AUPHE,CNLYW
OARSCSKKK,AUPHE,CNMEZ
OFFRAYCKK,AUPHE,CNMJS
OFFFFYFKK,AUPHE,CNMJS
OFFGCSRKK,AUPHE,CNMJS
OFFFFYFKK,AUPHE,CNMJS
OFFGNCYKK,AUPHE,CNMJS
OFFGNCYKK,AUPHE,CNMJS
OFFRAYCKK,AUPHE,CNMJS
OFFRAYCKK,AUPHE,CNMJS
OFFGCSRKK,AUPHE,CNMJS
OARSCSKKK,AUPHE,CNMJS
OAROCOKKK,AUPHE,CNNBO
OFFKCRAKK,AUPHE,CNNBO
RNFCKRKKK,AUPHE,CNNBO
RNFCKRKKK,AUPHE,CNNBO
OFFYNKNKK,AUPHE,CNNBO
OFFFKGOKK,AUPHE,CNNBO
OARNORKKK,AUPHE,CNNBO
OAOKFRKKK,AUPHE,CNNBO
OFFFFGNKK,AUPHE,CNNBO
OFFRNANKK,AUPHE,CNNBO
OFFGNCYKK,AUPHE,CNNBO
OAOKFKKKK,AUPHE,CNNBO
OFFORNYKK,AUPHE,CNNBO
RNFCKRKKK,AUPHE,CNQIN
OFFNNKRKK,AUPHE,CNQIN
OFFNNKRKK,AUPHE,CNQIN
OFFGNNOKK,AUPHE,CNQIN
RNFCKRKKK,AUPHE,CNQIN
OFFAYCCKK,AUPHE,CNQIN
OFFFAFAKK,AUPHE,CNRIZ
OFFFAFAKK,AUPHE,CNRIZ
OFFAYCCKK,AUPHE,CNRIZ
RFKARSKKK,AUPHE,CNRIZ
OACNRRKKK,AUPHE,CNRIZ
OARYSRKKK,AUPHE,CNRIZ
OFFGNNOKK,AUPHE,CNRIZ
OFFARAGKK,AUPHE,CNRIZ
OFFRSFRKK,AUPHE,CNRIZ
OFFGCSRKK,AUPHE,CNRIZ
OFFKCRAKK,AUPHE,CNRIZ
OFFFKSSKK,AUPHE,CNRIZ
OFFAKRAKK,AUPHE,CNRIZ
OFFYCNGKK,AUPHE,CNRIZ
OFFSNACKK,AUPHE,CNRIZ
OARYSOKKK,AUPHE,CNRIZ
OFFFFGNKK,AUPHE,CNSLH
OFFOOACKK,AUPHE,CNSLH
OARSCSKKK,AUPHE,CNSLH
OARNORKKK,AUPHE,CNTJN
OACNRRKKK,AUPHE,CNTJN
OARSCSKKK,AUPHE,CNTJN
OFFAKRAKK,AUPHE,CNTJN
RFAAACKKK,AUPHE,CNTJN
OFFGGNFKK,AUPHE,CNTJN
OFFGYGFKK,AUPHE,CNTJN
OFFRNANKK,AUPHE,CNTJN
RFKKFAKKK,AUPHE,CNTJN
OFFYCNGKK,AUPHE,CNTJN
OFFYNKNKK,AUPHE,CNTJN
OFFNNKRKK,AUPHE,CNTJN
OARYSOKKK,AUPHE,CNTJN
